population,guest,compile_flags,syscall_insn,cpuid_insn,other_insn,static_candidate_sites,banner_candidate_sites,banner_mapped_sites,reach_state,ran_under_hermit
B-shared-fullcorpus,B-procfs_positioned_probe,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-prodcons_determinism,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-producer_consumer,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-pselect6_simulation,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-pthread_lifecycle,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-ptrace_attach_eperm,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-ptrace_eperm,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-ptrace_seize_eperm,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-ptrace_traceme_eperm,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-pty_nr_count,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-qemu_hello,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-rcx_canonicalization,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",1,0,0,1,1,1,e9patch-exercised,yes
B-shared-fullcorpus,B-record_replay_fd_close,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-record_replay_file_state,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-record_replay_lseek_seek_cur,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-record_replay_setsockopt,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-recvmsg_scm_rights_mmap,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-remap_file_pages_anonymous_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-remap_file_pages_memfd_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-remap_file_pages_tmpfile_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-request_key_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-robust_futex_test,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-sched_setattr_batch,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-sched_setattr_idle,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-sched_setattr_other,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-scheduler_policy_queries,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-sigmask_preemption,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-socket_cookie_tcp,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-socket_cookie_udp,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-socket_cookie_unix,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-socket_ioctl_timestamp,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-socket_timestamp_edge_cases,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-socket_timestamp_timespec,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-socket_timestamp_timeval,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-so_incoming_cpu_tcp4,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-so_incoming_cpu_tcp6,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-so_incoming_cpu_udp4,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-splice_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-statmount_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-syscall_file_io,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-syscall_file_metadata,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-syscall_quick_wins,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-sysfs_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-sysinfo,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-syslog_deterministic,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-sysv_sem_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-sysv_shm_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-tcp_info_accept4,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-tcp_info_accept6,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-tcp_info_client4,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-tee_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-thread_contention,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-thread_self_procfs_handoff,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-thread_stress,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-uname,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-unix_autobind_dgram,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-unix_autobind_seqpacket,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-unix_autobind_stream,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-ustat_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-vmsplice_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-wait_on_child,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-writev_determinism,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
