config	seed	exit	sig12	scanlines
ctr_ts-1e5	17	0	e9ed0d2ac4d9	1
ctr_ts-1e5	18	0	e9ed0d2ac4d9	1
ctr_ts-1e5	19	0	e9ed0d2ac4d9	1
ctr_ts-1e5	20	0	e9ed0d2ac4d9	1
ctr_ts-1e5	21	0	e9ed0d2ac4d9	1
ctr_ts-1e5	22	0	e9ed0d2ac4d9	1
ctr_ts-1e5	23	0	e9ed0d2ac4d9	1
ctr_ts-1e5	24	0	e9ed0d2ac4d9	1
ctr_ts-1e5	25	0	e9ed0d2ac4d9	1
ctr_ts-1e5	26	0	e9ed0d2ac4d9	1
ctr_ts-1e5	27	0	e9ed0d2ac4d9	1
ctr_ts-1e5	28	0	e9ed0d2ac4d9	1
ctr_ts-1e5	29	0	e9ed0d2ac4d9	1
ctr_ts-1e5	30	0	e9ed0d2ac4d9	1
ctr_ts-1e4	1	0	9e7d9b232098	1
ctr_ts-1e4	2	0	c0cf48d675a0	1
ctr_ts-1e4	3	0	e9e5f31a703d	1
ctr_ts-1e4	4	0	b96afcca6cc1	1
ctr_ts-1e4	5	0	594afcd5cc2f	1
ctr_ts-1e4	6	0	d11fe22e088b	1
ctr_ts-1e4	7	0	b32e9ba403b1	1
ctr_ts-1e4	8	0	cdd89932968f	1
ctr_ts-1e4	9	0	77e0c456e53d	1
ctr_ts-1e4	10	0	fe82a81166a8	1
ctr_ts-1e4	11	0	77e0c456e53d	1
ctr_ts-1e4	12	0	fda647f068e4	1
ctr_ts-1e4	13	0	86f6e6a460a7	1
ctr_ts-1e4	14	0	4d078e8bba35	1
ctr_ts-1e4	15	0	02e05833d5b3	1
ctr_ts-1e4	16	0	3383133a6f56	1
ctr_ts-1e4	17	0	2a0edad298f0	1
ctr_ts-1e4	18	0	642495301503	1
ctr_ts-1e4	19	0	6b78bf38e47d	1
ctr_ts-1e4	20	0	9bfbe12b31c4	1
ctr_ts-1e4	21	0	77dc2aea3fdf	1
ctr_ts-1e4	22	0	2a0edad298f0	1
ctr_ts-1e4	23	0	34582ccf85c7	1
ctr_ts-1e4	24	0	b4c383c9a010	1
ctr_ts-1e4	25	0	32fb003495d1	1
ctr_ts-1e4	26	0	68b8dd4b688e	1
ctr_ts-1e4	27	0	c5d4e447ee9a	1
ctr_ts-1e4	28	0	4c9bcd91f46c	1
ctr_ts-1e4	29	0	15331b8cf8ae	1
ctr_ts-1e4	30	0	3ba1477d6fc6	1
ctr_ts-1e3	1	0	b4ae92a6ab52	1
ctr_ts-1e3	2	0	dfe1cb3a212b	1
ctr_ts-1e3	3	0	e55f5f3bbcde	1
ctr_ts-1e3	4	0	6614ff1454bd	1
ctr_ts-1e3	5	0	44166e0fde01	1
ctr_ts-1e3	6	0	d72b2b491fe1	1
ctr_ts-1e3	7	0	4d695369ce6e	1
ctr_ts-1e3	8	0	ccf2382a9ee5	1
ctr_ts-1e3	9	0	5d2368b6d8bd	1
ctr_ts-1e3	10	0	20df8808433f	1
ctr_ts-1e3	11	0	9774f4bfe393	1
ctr_ts-1e3	12	0	f2402d4db001	1
ctr_ts-1e3	13	0	526d69d9ae56	1
ctr_ts-1e3	14	0	d4150cd2ac4d	1
ctr_ts-1e3	15	0	9b54cf48a2fb	1
ctr_ts-1e3	16	0	8759e58981f7	1
ctr_ts-1e3	17	0	c1db03f661d1	1
ctr_ts-1e3	18	0	4222acbe0b34	1
ctr_ts-1e3	19	0	23344ce1cb44	1
ctr_ts-1e3	20	0	368f6e2ee619	1
ctr_ts-1e3	21	0	ed40ddfe53ec	1
ctr_ts-1e3	22	0	0d7340b7f84e	1
ctr_ts-1e3	23	0	eef532ccad2f	1
ctr_ts-1e3	24	0	e1b82c658f7f	1
ctr_ts-1e3	25	0	fa69bff3103a	1
ctr_ts-1e3	26	0	a8aa12162148	1
ctr_ts-1e3	27	0	424686de0e61	1
ctr_ts-1e3	28	0	9c8e8181d4f8	1
ctr_ts-1e3	29	0	4db6c8cc9de3	1
ctr_ts-1e3	30	0	9dfb233f5994	1
ctr_ts-1e2	1	0	90d914248e74	1
ctr_ts-1e2	2	0	662f563b2fd6	1
ctr_ts-1e2	3	0	5120e58a68ff	1
