cell_id,backend,verdict,tier,golden_rc,backend_rc,detail
backend-parity-c/cpuid-probe,dbi,DIVERGES,L0,1,0,exit 0 vs golden 1: reverie-dbi: tool=Detcore branches=22785 syscalls=37 rewritten=36 stdin_reads=0 memory_hash=8173631d3d2fe092
backend-parity-c/getpriority-identity,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/getrusage-self-accounting,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/inotify-watch,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/ioctl-fionread,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/kcmp-refusal,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/linkat-flags,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/lseek-positioning,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/mce-kill-refusal,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/memfd-create,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/mempolicy-default,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
