hermit_sha,reverie_sha,dirty,lane,bucket,test_id,test_mode,backend,cell_state,outcome,determinism_result,determinism_contract,stdout_parity_result,parity_contract,observed_tier,bitwise_axis
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/keyctl-enosys,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/keyctl-passthrough,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/listmount-enosys,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/liteinst-advanced,verify,dbi,expansion,diverge,fail,stripped-verify-l2,NO-RESULT-UNMEASURED,stdout-sha256,NO-RESULT-UNMEASURED,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/lsm-get-self-attr-enosys,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/lsm-list-modules-enosys,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/lsm-set-self-attr-enosys,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/madvise-determinism,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/map-shadow-stack-enosys,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/memfd-secret-enosys,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/meminfo-available-deterministic,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/meminfo-cached-deterministic,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/meminfo-free-deterministic,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/memorypress,verify,dbi,expansion,pass,pass,stripped-verify-l2,pass,stdout-sha256,TIER-1-AT-BEST,CONTRACT-UNAVAILABLE
1fadc03779f2a246a9b5af5d4a93533511c837df,dd3c178ea9553004d7bf4c494e1b7fd80e7b6ae6,false,portable,c-programs,c-programs/mmap-determinism,verify,dbi,expansion,diverge,fail,stripped-verify-l2,NO-RESULT-UNMEASURED,stdout-sha256,NO-RESULT-UNMEASURED,CONTRACT-UNAVAILABLE
