package,source_version,root,executor,artifact_sha256,hermit_sha256,utc
psmisc,22.19-1+deb7u1,native-n2,native,c07d83bc8a64377a59221008790e951b931276738239f008e991255c980b6159,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:02:55Z
dialog,1.1-20120215-2,native-n2,native,7d2dbb9de3b75733ba98ea4685ec36a3ae9ee034dfbf89c353d18f00deb99718,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:02:58Z
moreutils,0.47,native-n1,native,8c3e647b9b6438c7df55a6ac1f29e5283488893ebfab558edcee8d51a2f9ea7a,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:03:18Z
file,5.11-2+deb7u8,native-n1,native,105d175886917a682b8d32e8e10c4203f745c8b4a3d4f81887c4793ed41c2646,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:03:20Z
moreutils,0.47,native-n2,native,c4bd44b9bcd30aedfa720b78abb0ccf6e98e410601781e30116ba883b7969f5a,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:03:25Z
file,5.11-2+deb7u8,native-n2,native,cb76f0fc9861806a3c9a3fc299450d74af89b09d68fd4ca661ba1604cabba55c,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:03:39Z
sipcalc,1.1.5-1,hermit-a,hermit,9d219f9e3bc384d38d23d61d52bda1dce881b356eb38c890332b66bc139dbaf1,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:03:59Z
psmisc,22.19-1+deb7u1,hermit-a,hermit,f29a212841606e45b002f2408e6532b56688251b89679644050dac2124ff8d9a,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:04:30Z
moreutils,0.47,hermit-a,hermit,70b64bad837cf5553029ca6d00c3f661ceb47c7f46424d865dd660ce29f1bffa,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:04:39Z
groff,1.21-9,native-n1,native,15ad7940131609cba5c23a3eb841d80f22bb2349f92dada5a8a6a5dd4a675a31,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:05:12Z
sipcalc,1.1.5-1,hermit-b,hermit,9d219f9e3bc384d38d23d61d52bda1dce881b356eb38c890332b66bc139dbaf1,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:05:13Z
sipcalc,1.1.5-1,hermit-norcb-a,hermit-norcb,814ebcb5af3275ae4b1c13bda921a4fa7fcc639d80215b4e139d2138cd98b983,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:05:39Z
moreutils,0.47,hermit-b,hermit,70b64bad837cf5553029ca6d00c3f661ceb47c7f46424d865dd660ce29f1bffa,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:05:55Z
sipcalc,1.1.5-1,hermit-norcb-b,hermit-norcb,814ebcb5af3275ae4b1c13bda921a4fa7fcc639d80215b4e139d2138cd98b983,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:06:05Z
psmisc,22.19-1+deb7u1,hermit-b,hermit,f29a212841606e45b002f2408e6532b56688251b89679644050dac2124ff8d9a,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:06:10Z
moreutils,0.47,hermit-norcb-a,hermit-norcb,23f59ae04dd9af641bc1b0e9b4359357fd112b935ed9aa99c9d9b4693798e1d6,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:06:12Z
groff,1.21-9,native-n2,native,35a3ceb40fb6e6c3e3327aecafc97481d035778436c0c63848ed0417edda2a2a,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:06:16Z
dialog,1.1-20120215-2,hermit-a,hermit,1922cad22e708d4aaa89bee41bf83c1f984ff312991c5291d752eb61375095c0,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:06:17Z
moreutils,0.47,hermit-norcb-b,hermit-norcb,23f59ae04dd9af641bc1b0e9b4359357fd112b935ed9aa99c9d9b4693798e1d6,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:06:29Z
psmisc,22.19-1+deb7u1,hermit-norcb-a,hermit-norcb,1d8d9c8c8947c4c8a7e898209edefc0f20935686334899a632667171af03c99f,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:06:47Z
pv,1.2.0-1,native-n1,native,1a925b5f3a9513947d312cbc521937842f2aa9e8802832b1550e6cc6687e70fd,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:07:10Z
pv,1.2.0-1,native-n2,native,cd76c971308e467a7dadc35555148f909ee625b137d7b93651f57b3a1b00d2a0,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:07:17Z
psmisc,22.19-1+deb7u1,hermit-norcb-b,hermit-norcb,1d8d9c8c8947c4c8a7e898209edefc0f20935686334899a632667171af03c99f,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:07:25Z
cgdb,0.6.6-2,native-n1,native,264f85d110c264a49670c47866a21eb787adf3dc4dce0ad771196a3b3d48ee9e,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:07:46Z
cgdb,0.6.6-2,native-n2,native,3b9f88f6d92c7097af76b843bcb217e5919f4a6e7c37ef683ce52299fbc58c25,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:08:04Z
pv,1.2.0-1,hermit-a,hermit,98aa11d080e1187d87d573affc329b6f6324428feeef2a431cc7c5f22e79b4cc,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:08:15Z
file,5.11-2+deb7u8,hermit-a,hermit,96b0440cc0531a5bff6c293e4117f9fb98c87aca769755040af51057ad56344d,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:08:25Z
bsdmainutils,9.0.3,native-n1,native,6a358d5f1bf4e66778411cfc58586b08b4c71f73498d82e3317e342b63901c84,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:08:35Z
