label,target_expr,mode,dose,drv,n,distinct,verdict,hashes,wall_s,notes,superseded_mode
n20-nondet-seconds,(import ./nix/nondet-seconds.nix) {},hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled,/nix/store/2szz2b050n9z07aqjcqf90g06jv7dwsl-nondet-seconds.drv,20,1,reproducible,1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97 1hbrb115920np9f6i7ys5932grg4vz0gihll711pvzciq4rivm97,1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1,,0
n20-nondet-seconds,(import ./nix/nondet-seconds.nix) {},native,native,/nix/store/d5hjy2ka55hnrxn173fppg315l7q8cg4-nondet-seconds.drv,20,16,NONDETERMINISTIC,0z0qx4cyqdi8pwzzvv9yq7qz8xnk2mzjnk0ab1fyc5h912dp8yq8 18z1nrhksb6cy0yp5wacs0rfk7v0fhn8b5zr4h6y3hmwyj7z0sdm 18z1nrhksb6cy0yp5wacs0rfk7v0fhn8b5zr4h6y3hmwyj7z0sdm 1y39pdknxv29ln7isvxwcsw0c8wbwylk241gpb4mjm2akksihbzf 1cci0mk9s64s6rwgq6mg631v8nziqnbi0d959jparadl29nqadwk 1ibvz8l48z6p6g982lxpbdpkd3jy71maswqbyqzjf4f78i71a9yi 03hvssabp0m07z2lh5cjnwkyyy07lr3cqpqsvb7s6hq90ys1flq4 03hvssabp0m07z2lh5cjnwkyyy07lr3cqpqsvb7s6hq90ys1flq4 0as1pdld6f0j4ysiycsp4h3n0kcj2d07cz53f5791imsjnvyhrhr 1cs03svcziy51sdh0zcc6g7jn5idw7k0wpgg1rmdr2fvx8wj2shv 01qzqmwbw82819gv3ik5fcfwx5rxm59n5w5xqsj4ni8wyw7p8sx5 1h6yk37w27j1kabvk2fz2i67afwqs0x8l7dld9438rvcc8x8fiy4 147jyld9zlj91c6a877g388bgfv548yprrji4msm6im9fykjbgrr 147jyld9zlj91c6a877g388bgfv548yprrji4msm6im9fykjbgrr 0fr8k6fcqvnk2b9g768gy0mgjp20icxsjf3ggrqzx98hh6i0x3cq 1fa73jcq80d6vqjcrnrzc0mwlkma6jascb22cka1466j73vzgjrg 1lyxhyw5hz723imcjlikil4845szhgyy4wswr6mby1gajld0ggax 1y3lij81nkh73m95p0akjapwjgja3kh7gwmib885yi1b7rrlzj31 03b5gpf7id9j0zwrxyqz6fyw42zakw9mhc593bnsqccsxqwq6cwa 03b5gpf7id9j0zwrxyqz6fyw42zakw9mhc593bnsqccsxqwq6cwa,0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1,,0
n20-nondet-time,(import ./nix/nondet-time.nix) {},hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled,/nix/store/zchz93ccrkcnfhx9nfl6izrcy7j900kq-nondet-time.drv,20,1,reproducible,1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda,1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1,,0
n20-nondet-time,(import ./nix/nondet-time.nix) {},native,native,/nix/store/c7km7f6x4xx60phwnxgy4sjhqdimh8fh-nondet-time.drv,20,20,NONDETERMINISTIC,16kmgzf42z2zx6dmymrkca6as6c52gb17dzf5jj28xss6nnbmy03 1qqlprh58sgwj8zjy53ik1hfvscx5ikasf5ac34k4s37krw34z43 0nahhiivqzcxc8fyahcsw44cw7bg58734lrknz78ggwrwqkw2ggz 16k6sbqhknnxwwi928s8lcizxgbmk2ivyqkfy6gq6xrl5jm58q0v 1v7p7hq901569xg1h36gr8sbz0mhihrbddw3sh5sv79cslfp4yzv 18njqin4hjv3nd2ibh3nqzr9a1cc0xwh6w50bj1j2mh48j6ak01i 0z60bsing4lsgrnmm33zq5g15wvdxili6b779fkfrnl44grcvjir 0zbvpx35ri749x35286zds25cdp7cc9184s69viglj21zi8vndmh 1l35r5wshvxcgm99aawq3p9bkac6hzqhd6ps5f87859m27zcv8m6 16zx4zpm3g5ra3diaszm5w13clznb93wikn9yb6z0jfmxgs9q5ff 0jl3jk5dfnyjlgm0974aqhzc4j791ld5yc07fc1z4zll55q5gshp 0ch8x2rlv340bycxzwrn6njl4s7lja6ycrjz8a6knxrfbay0cv6r 0yl9mw5xl3prs34mird25064c1kvdx3q85zl7x9lcmgj79f5i1sr 10jp38rmpwa75kgr8zz3sx38f9qarf7p3v3whcahy7xn3c3j730n 1dbjsnbdmwngrjz6v1g544xafv73i712457dknr83qpfbwgjiwpa 09q01fb09yf7ha3yk8z04l7k6wkmy0yj4w2h0al6475gk7vz1lqz 1qq8q9hrnni7jq16bi0q8h6by3jfnbiskjjjw4xfh0kvyzvgfxn4 0js6nfzhbv1rslji1jhccfyyg9g187adin5wp0qf706kcq7ilb9s 0h0jywck7hx98xxa89sg18fckzkav49k961y2gsp3qf8gpljf456 1dv0xrmkc82d4vwqgprn991cfwxmfyjnvp692qz3gnbr2b2n6pdr,0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0,,0
nt10-native,(import ./nix/nondet-time.nix) {},native,native,/nix/store/c7km7f6x4xx60phwnxgy4sjhqdimh8fh-nondet-time.drv,10,10,NONDETERMINISTIC,0iff6zrvfxqncvmf9yhgxls5rlwygi678f8wxs19psj30a2pjp1x 0q6fk75ssl0vmh7ysidpmqlnd1v9rvism6d9dbgrmdv5gs47alm5 1nkmm5krw9r7f7zyr5k24n1714ych9dxd0xly5lgwlpyg475kila 1mw14q0f3y7h61pmwjlyhknklbz48jkq4625mn1bbmwiccppnjzj 02q1frhlpz4wkpnw1bg0ap3p40zkwsphpbmp633rbfgmn8jxrmqz 00k7h739i4wfpq31m6j1nd7myckpmab0i4q7akcvsh2i9rpfqggf 130hya13k80hxggbb8z1lpgajas3h8a0akqw6ahlnjnmj9pyqgj7 1s1axd8nrf68rfwzd6jnvm2r5n7zga19g4rrgfrlv5irj5lyblgl 0pfdp94d7ihf60jlm4fdi3x8qlrf37kihf2jkdnjdqwc0rz02qkd 00ysmx0k2l3xp49b6cbdmx32j090cnyz9ax214pcgi10xr6lgwca,0 0 0 1 0 0 0 0 1 0,,0
nt10-run-no-namespace,(import ./nix/nondet-time.nix) {},hermit,run --no-namespace +setarch-R,/nix/store/ndcg5day1m7sdykzazjzdsh3vbpg9s94-nondet-time.drv,10,4,NONDETERMINISTIC,0d3yd7ijn865nrpl9yfjyvbzyps5v0idp03m8zsjxqs1sxpm67xk 00mgkhw1h6gkbxgy8z8y4grpmbscg60a8jqwcqvb0mcvsr4fpfhs 07vsgy9s9cwvj7sfllknpf30yqhgzkm5idd2b8hlzwa1q38qrday 00mgkhw1h6gkbxgy8z8y4grpmbscg60a8jqwcqvb0mcvsr4fpfhs 00mgkhw1h6gkbxgy8z8y4grpmbscg60a8jqwcqvb0mcvsr4fpfhs 1hjsrlwxb22w9yvkf5763y63qpdwjnfb279c6igim3cxb6ynncsz 00mgkhw1h6gkbxgy8z8y4grpmbscg60a8jqwcqvb0mcvsr4fpfhs 00mgkhw1h6gkbxgy8z8y4grpmbscg60a8jqwcqvb0mcvsr4fpfhs 1hjsrlwxb22w9yvkf5763y63qpdwjnfb279c6igim3cxb6ynncsz 1hjsrlwxb22w9yvkf5763y63qpdwjnfb279c6igim3cxb6ynncsz,3 3 4 3 2 3 2 3 4 4,,0
nt10-run-no-namespace-no-rcb-time-max-timeslice-disabled,(import ./nix/nondet-time.nix) {},hermit,run --no-namespace --no-rcb-time --max-timeslice disabled +setarch-R,/nix/store/y3shhxhbfapci6xlv928pzpc3qj41x9r-nondet-time.drv,10,2,NONDETERMINISTIC,0jwklxmc0fd019vadzfzgdhx1i2m5qmc90bzyvkns70afjj5vq7h 0jwklxmc0fd019vadzfzgdhx1i2m5qmc90bzyvkns70afjj5vq7h 0vrmax7vdq3cyiiy9kskfvnal3lswv37z7qy46a70br09xp6wbx4 0jwklxmc0fd019vadzfzgdhx1i2m5qmc90bzyvkns70afjj5vq7h 0jwklxmc0fd019vadzfzgdhx1i2m5qmc90bzyvkns70afjj5vq7h 0jwklxmc0fd019vadzfzgdhx1i2m5qmc90bzyvkns70afjj5vq7h 0jwklxmc0fd019vadzfzgdhx1i2m5qmc90bzyvkns70afjj5vq7h 0jwklxmc0fd019vadzfzgdhx1i2m5qmc90bzyvkns70afjj5vq7h 0jwklxmc0fd019vadzfzgdhx1i2m5qmc90bzyvkns70afjj5vq7h 0jwklxmc0fd019vadzfzgdhx1i2m5qmc90bzyvkns70afjj5vq7h,1 1 1 1 1 2 1 2 1 1,,0
nt10-run-tmp-tmp,(import ./nix/nondet-time.nix) {},hermit,run --tmp=/tmp,/nix/store/3nihi5zmpx380f81i8rs1m5bad7g2p8k-nondet-time.drv,10,3,NONDETERMINISTIC,0qg90m1j7k94wi1r9f8dwxdc09bcw9baa2255iwcjrs54w4rabq1 1mi495cr3ll9h9wikaiabhyr02cvw86pvda156zcabz4dqwqbpn3 1z1yhhxy622gc1kb796f0d20ba10cz3fyagjwissn70ws0zbm5j6 0qg90m1j7k94wi1r9f8dwxdc09bcw9baa2255iwcjrs54w4rabq1 0qg90m1j7k94wi1r9f8dwxdc09bcw9baa2255iwcjrs54w4rabq1 0qg90m1j7k94wi1r9f8dwxdc09bcw9baa2255iwcjrs54w4rabq1 0qg90m1j7k94wi1r9f8dwxdc09bcw9baa2255iwcjrs54w4rabq1 0qg90m1j7k94wi1r9f8dwxdc09bcw9baa2255iwcjrs54w4rabq1 0qg90m1j7k94wi1r9f8dwxdc09bcw9baa2255iwcjrs54w4rabq1 0qg90m1j7k94wi1r9f8dwxdc09bcw9baa2255iwcjrs54w4rabq1,2 3 59 2 4 3 2 3 4 3,,0
nt10-run-tmp-tmp-no-rcb-time,(import ./nix/nondet-time.nix) {},hermit,run --tmp=/tmp --no-rcb-time,/nix/store/jmi0v5k1d41w51hzcs2b9n9xv6f2p7ss-nondet-time.drv,10,1,reproducible,0ghkw74sd3d1x01sgyy0wkf541zxm1i89i7dprx0217i7gaj6h55 0ghkw74sd3d1x01sgyy0wkf541zxm1i89i7dprx0217i7gaj6h55 0ghkw74sd3d1x01sgyy0wkf541zxm1i89i7dprx0217i7gaj6h55 0ghkw74sd3d1x01sgyy0wkf541zxm1i89i7dprx0217i7gaj6h55 0ghkw74sd3d1x01sgyy0wkf541zxm1i89i7dprx0217i7gaj6h55 0ghkw74sd3d1x01sgyy0wkf541zxm1i89i7dprx0217i7gaj6h55 0ghkw74sd3d1x01sgyy0wkf541zxm1i89i7dprx0217i7gaj6h55 0ghkw74sd3d1x01sgyy0wkf541zxm1i89i7dprx0217i7gaj6h55 0ghkw74sd3d1x01sgyy0wkf541zxm1i89i7dprx0217i7gaj6h55 0ghkw74sd3d1x01sgyy0wkf541zxm1i89i7dprx0217i7gaj6h55,2 4 3 3 3 3 3 4 3 3,,0
nt10-run-tmp-tmp-no-rcb-time-max-timeslice-disabled,(import ./nix/nondet-time.nix) {},hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled,/nix/store/zchz93ccrkcnfhx9nfl6izrcy7j900kq-nondet-time.drv,10,1,reproducible,1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda,1 1 1 1 1 1 1 1 1 1,,0
nt10-run-tmp-tmp-no-rcb-time-max-timeslice-disabled-strict,(import ./nix/nondet-time.nix) {},hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled --strict,/nix/store/xaadwx8samzjd5crdzqiq026mn4cv5pv-nondet-time.drv,10,1,reproducible,1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda 1l9290vfk3lca7lmrss1p8virylharzjjb485cmmjcg6kl85njda,1 1 1 1 1 1 1 1 1 1,,0
patchelf,(import <nixpkgs> {}).patchelf,hermit,run --no-namespace --no-rcb-time --max-timeslice disabled +setarch-R,/nix/store/qfpqwic10jzy54ch981awqb2r925qir6-patchelf-0.15.0.drv,0,,build-fail,,,build1-failed,1
patchelf,(import <nixpkgs> {}).patchelf,native,native,/nix/store/qmzgv48kxa1malfnj9kjbz764wv1as3c-patchelf-0.15.0.drv,0,,error,,,delete-failed:/nix/store/g6vgg72a5m5gm6fjm1jn9c39yxgpqkw2-stdenv-linux;/nix/store/nbrif411qgsj1h5r7rlgxxm140aj58dz-stdenv-linux;,0
tree,(import <nixpkgs> {}).tree,native,native,/nix/store/nja7kb2kklj7h24bckdxncfwzxbpzika-tree-2.2.1.drv,2,1,reproducible,10mw75s89r8d22ailspjl7mcczcv50znkgw52x2a2s1gq3qaqfnc 10mw75s89r8d22ailspjl7mcczcv50znkgw52x2a2s1gq3qaqfnc,2 2,,0
urandom-temp-names,(import ./nix/real-candidates.nix {}).urandom-temp-names,hermit,run --no-namespace --no-rcb-time --max-timeslice disabled +setarch-R,/nix/store/9km71zm89jfdqxlb7vw39q7nbip8x6gr-urandom-temp-names.drv,3,1,reproducible,0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv,1 1 1,,1
urandom-temp-names,(import ./nix/real-candidates.nix {}).urandom-temp-names,native,native,/nix/store/6syh327jhywxgpp4cmvs0w2gibsnvjwq-urandom-temp-names.drv,3,3,NONDETERMINISTIC,1kfdj12yknhkpmmb6nz7nfk2qv0bcw9i3k0a9pcdzgdzrrhg1vff 1in9pz1dy0ykx8v2vbm8fr4p9sdp4qk05qxan9yfj0mr4g9k123m 1qjjp8q32ch7sal1jk9s3b8x9f6n0m78bxa88swrl0vl3mnzkny3,0 0 1,,0
urnd10-native,(import ./nix/real-candidates.nix {}).urandom-temp-names,native,native,/nix/store/6syh327jhywxgpp4cmvs0w2gibsnvjwq-urandom-temp-names.drv,10,10,NONDETERMINISTIC,02lzfji8fmjznyfsblzn71cnsgyibwsq3cycgqcp3m1wnawpy07h 17328379fsk71g91m708a1ismkm14ibjcn2mcrn9j1jp2n2wx3vl 0nawl0ipf7q8005znkmmrb1yrxkn19fr0s2pwqcx1nzjzyysqd36 1hdk9jgn51i2hm21v5k4dfbqpbnfx3w9jr4ql8glj4s63k88q3by 15cd1wryzf213w7555v52cpls0w0gmndk4ilhiy3zm01haxvg86y 1sqf1k3dxdhb7ympwdb31adc289r9b7kwagvcsgx6igg2d8nzf3y 1486nf43c84nbvddqmka2lmq0yk7l63cvcmjbdxgjirl2dpvvi9h 1dvzlwh5nf70k3i25sl1yzfrvlgdnmwi2mh5zhczx2vc3pwmvqwh 0ccbjb3andpysfkyhc4dmjzaigs25knnl19j6jm42i87p2gspasz 1kgddrbi5cmn1nnnn7zaw9xw40g134jjdavw12f9qldraw0w72qr,0 1 0 0 0 0 0 0 1 0,,0
urnd10-run-no-namespace,(import ./nix/real-candidates.nix {}).urandom-temp-names,hermit,run --no-namespace +setarch-R,/nix/store/x998xalbwwv8x464ms9b0a4qzs14fpig-urandom-temp-names.drv,10,1,reproducible,0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv,2 2 2 4 2 2 2 2 2 2,,0
urnd10-run-no-namespace-no-rcb-time-max-timeslice-disabled,(import ./nix/real-candidates.nix {}).urandom-temp-names,hermit,run --no-namespace --no-rcb-time --max-timeslice disabled +setarch-R,/nix/store/9km71zm89jfdqxlb7vw39q7nbip8x6gr-urandom-temp-names.drv,10,1,reproducible,0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv,1 1 1 1 1 1 1 2 2 2,,0
urnd10-run-tmp-tmp,(import ./nix/real-candidates.nix {}).urandom-temp-names,hermit,run --tmp=/tmp,/nix/store/888dc29rrz83270s16xhkzkj5yycn4g0-urandom-temp-names.drv,10,1,reproducible,0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv,6 5 3 4 6 6 3 4 4 4,,0
urnd10-run-tmp-tmp-no-rcb-time,(import ./nix/real-candidates.nix {}).urandom-temp-names,hermit,run --tmp=/tmp --no-rcb-time,/nix/store/0a4sr4w10d229xh9dsskq5dg9vq58ayj-urandom-temp-names.drv,10,1,reproducible,0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv,3 3 5 2 6 3 3 3 2 3,,0
urnd10-run-tmp-tmp-no-rcb-time-max-timeslice-disabled,(import ./nix/real-candidates.nix {}).urandom-temp-names,hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled,/nix/store/d9b2gdlvi3pfzal1bpk6iih6g6qlfsmv-urandom-temp-names.drv,10,1,reproducible,0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv,2 2 2 1 2 1 1 1 1 1,,0
urnd10-run-tmp-tmp-no-rcb-time-max-timeslice-disabled-strict,(import ./nix/real-candidates.nix {}).urandom-temp-names,hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled --strict,/nix/store/1c7861klbzjpj7yb1lsb9ni1jp4g9mzx-urandom-temp-names.drv,10,1,reproducible,0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv 0wx7gxi6m9b34i9z8p0r9dpj4bhqpnk2fa34n47wiz2jkmrvi3dv,1 1 1 2 1 1 1 1 1 1,,0
which,(import <nixpkgs> {}).which,hermit,run --no-namespace --no-rcb-time --max-timeslice disabled +setarch-R,/nix/store/l3cclhfivpjqa6zmp19z3ssz8q9ll8n3-which-2.23.drv,0,,build-fail,,,build1-failed,1
which,(import <nixpkgs> {}).which,hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled,/nix/store/c9bd42ds2vwjqrlmr4ajff8g8ywwl6h0-which-2.23.drv,0,,build-fail,,,build1-failed,0
which,(import <nixpkgs> {}).which,native,native,/nix/store/8j1ppvc6n2i1cwmchmzk8sxyxp8f163p-which-2.23.drv,2,1,reproducible,10akgdnskylvddfbn6v7y908r7nqp4h1ap0jbfm1pydhhqzjppb9 10akgdnskylvddfbn6v7y908r7nqp4h1ap0jbfm1pydhhqzjppb9,4 4,,0
