cell	backend	run	rc	detlog_records	refusal
detlog_syscalls	e9patch	13	0	336	
detlog_syscalls	e9patch	14	0	336	
detlog_syscalls	e9patch	15	0	336	
detlog_syscalls	e9patch	16	0	336	
detlog_syscalls	e9patch	17	0	336	
detlog_syscalls	e9patch	18	0	336	
detlog_syscalls	e9patch	19	0	336	
detlog_syscalls	e9patch	20	0	336	
detlog_syscalls	e9patch	21	0	336	
detlog_syscalls	e9patch	22	0	336	
detlog_syscalls	e9patch	23	0	336	
detlog_syscalls	e9patch	24	0	336	
detlog_syscalls	e9patch	25	0	336	
detlog_syscalls	e9patch	26	0	336	
detlog_syscalls	e9patch	27	0	336	
detlog_syscalls	e9patch	28	0	336	
detlog_syscalls	e9patch	29	0	336	
detlog_syscalls	e9patch	30	0	336	
heap_fragment_reuse	ptrace	1	0	98	
heap_fragment_reuse	ptrace	2	0	98	
heap_fragment_reuse	ptrace	3	0	98	
heap_fragment_reuse	ptrace	4	0	98	
heap_fragment_reuse	ptrace	5	0	98	
heap_fragment_reuse	ptrace	6	0	98	
heap_fragment_reuse	ptrace	7	0	98	
heap_fragment_reuse	ptrace	8	0	98	
heap_fragment_reuse	ptrace	9	0	98	
heap_fragment_reuse	ptrace	10	0	98	
heap_fragment_reuse	ptrace	11	0	98	
heap_fragment_reuse	ptrace	12	0	98	
heap_fragment_reuse	ptrace	13	0	98	
heap_fragment_reuse	ptrace	14	0	98	
heap_fragment_reuse	ptrace	15	0	98	
heap_fragment_reuse	ptrace	16	0	98	
heap_fragment_reuse	ptrace	17	0	98	
heap_fragment_reuse	ptrace	18	0	98	
heap_fragment_reuse	ptrace	19	0	98	
heap_fragment_reuse	ptrace	20	0	98	
heap_fragment_reuse	ptrace	21	0	98	
heap_fragment_reuse	ptrace	22	0	98	
heap_fragment_reuse	ptrace	23	0	98	
heap_fragment_reuse	ptrace	24	0	98	
heap_fragment_reuse	ptrace	25	0	98	
heap_fragment_reuse	ptrace	26	0	98	
heap_fragment_reuse	ptrace	27	0	98	
heap_fragment_reuse	ptrace	28	0	98	
heap_fragment_reuse	ptrace	29	0	98	
heap_fragment_reuse	ptrace	30	0	98	
heap_fragment_reuse	kvm	1	0	98	
heap_fragment_reuse	kvm	2	0	98	
heap_fragment_reuse	kvm	3	0	98	
heap_fragment_reuse	kvm	4	0	98	
heap_fragment_reuse	kvm	5	0	98	
heap_fragment_reuse	kvm	6	0	98	
heap_fragment_reuse	kvm	7	0	98	
heap_fragment_reuse	kvm	8	0	98	
heap_fragment_reuse	kvm	9	0	98	
heap_fragment_reuse	kvm	10	0	98	
heap_fragment_reuse	kvm	11	0	98	
heap_fragment_reuse	kvm	12	0	98	
heap_fragment_reuse	kvm	13	0	98	
heap_fragment_reuse	kvm	14	0	98	
heap_fragment_reuse	kvm	15	0	98	
heap_fragment_reuse	kvm	16	0	98	
heap_fragment_reuse	kvm	17	0	98	
heap_fragment_reuse	kvm	18	0	98	
heap_fragment_reuse	kvm	19	0	98	
heap_fragment_reuse	kvm	20	0	98	
heap_fragment_reuse	kvm	21	0	98	
heap_fragment_reuse	kvm	22	0	98	
heap_fragment_reuse	kvm	23	0	98	
heap_fragment_reuse	kvm	24	0	98	
heap_fragment_reuse	kvm	25	0	98	
heap_fragment_reuse	kvm	26	0	98	
heap_fragment_reuse	kvm	27	0	98	
heap_fragment_reuse	kvm	28	0	98	
heap_fragment_reuse	kvm	29	0	98	
heap_fragment_reuse	kvm	30	0	98	
heap_fragment_reuse	liteinst	1	0	836	
heap_fragment_reuse	liteinst	2	0	836	
heap_fragment_reuse	liteinst	3	0	836	
heap_fragment_reuse	liteinst	4	0	836	
heap_fragment_reuse	liteinst	5	0	836	
heap_fragment_reuse	liteinst	6	0	836	
heap_fragment_reuse	liteinst	7	0	836	
heap_fragment_reuse	liteinst	8	0	836	
heap_fragment_reuse	liteinst	9	0	836	
heap_fragment_reuse	liteinst	10	0	836	
heap_fragment_reuse	liteinst	11	0	836	
heap_fragment_reuse	liteinst	12	0	836	
heap_fragment_reuse	liteinst	13	0	836	
heap_fragment_reuse	liteinst	14	0	836	
heap_fragment_reuse	liteinst	15	0	836	
heap_fragment_reuse	liteinst	16	0	836	
heap_fragment_reuse	liteinst	17	0	836	
heap_fragment_reuse	liteinst	18	0	836	
heap_fragment_reuse	liteinst	19	0	836	
heap_fragment_reuse	liteinst	20	0	836	
heap_fragment_reuse	liteinst	21	0	836	
heap_fragment_reuse	liteinst	22	0	836	
heap_fragment_reuse	liteinst	23	0	836	
heap_fragment_reuse	liteinst	24	0	836	
heap_fragment_reuse	liteinst	25	0	836	
heap_fragment_reuse	liteinst	26	0	836	
heap_fragment_reuse	liteinst	27	0	836	
heap_fragment_reuse	liteinst	28	0	836	
heap_fragment_reuse	liteinst	29	0	836	
heap_fragment_reuse	liteinst	30	0	836	
heap_fragment_reuse	dbi	1	0	96	
heap_fragment_reuse	dbi	2	0	96	
heap_fragment_reuse	dbi	3	0	96	
heap_fragment_reuse	dbi	4	0	96	
heap_fragment_reuse	dbi	5	0	96	
heap_fragment_reuse	dbi	6	0	96	
heap_fragment_reuse	dbi	7	0	96	
heap_fragment_reuse	dbi	8	0	96	
heap_fragment_reuse	dbi	9	0	96	
heap_fragment_reuse	dbi	10	0	96	
heap_fragment_reuse	dbi	11	0	96	
heap_fragment_reuse	dbi	12	0	96	
heap_fragment_reuse	dbi	13	0	96	
heap_fragment_reuse	dbi	14	0	96	
heap_fragment_reuse	dbi	15	0	96	
heap_fragment_reuse	dbi	16	0	96	
heap_fragment_reuse	dbi	17	0	96	
heap_fragment_reuse	dbi	18	0	96	
