cell	backend	run	rc	detlog_records	mapped_sites	refusal
mixed_inline_and_libc_syscalls	e9patch	6	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	7	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	8	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	9	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	10	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	11	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	12	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	13	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	14	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	15	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	16	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	17	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	18	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	19	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	20	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	21	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	22	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	23	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	24	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	25	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	26	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	27	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	28	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	29	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	e9patch	30	0	98	mapped_sites=1	
mixed_inline_and_libc_syscalls	liteinst	1	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	2	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	3	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	4	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	5	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	6	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	7	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	8	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	9	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	10	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	11	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	12	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	13	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	14	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	15	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	16	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	17	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	18	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	19	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	20	0	828	n/a	
mixed_inline_and_libc_syscalls	liteinst	21	0	828	n/a	
